Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Tier
LNG Esports,15,CN,19,0.105,0.53,1692,-255,1900-01-01 08:59:00,8.3,15.6,3.3,8.5,47.4,26.3,15.8,1.32,28.0,2.6,36.8,47.25,0.83,-0.1,-640.0,4.18,0.26,19.6,33.2,2122.0,3.3,1.27,1.53,1
LODIS,15,PL,18,0.222,0.72,1713,-188,1900-01-01 10:27:00,12.8,17.7,4.0,8.4,44.4,38.9,33.3,2.28,46.7,1.9,22.2,33.3,1.0,-0.4,-1557.0,2.67,0.39,34.4,31.2,2590.0,2.7,0.72,1.15,3
Los Grandes,15,BR,14,0.643,1.29,1832,35,1900-01-01 10:14:00,15.6,11.9,7.4,5.9,50.0,71.4,57.1,2.86,59.9,2.9,57.1,50.0,0.86,0.1,400.0,4.0,0.64,43.6,32.7,2458.0,3.6,1.3,1.48,3
Los Heretics,15,ES,32,0.75,1.56,1955,247,1900-01-01 08:26:00,17.1,10.9,8.1,4.3,53.1,81.3,71.9,2.56,57.2,3.8,75.0,62.5,0.84,0.8,2024.0,5.53,0.69,66.3,34.5,2818.0,3.4,1.08,1.36,3
Los Ratones,15,EUW,36,0.861,1.49,2045,305,1900-01-01 07:32:00,18.1,12.0,8.7,3.8,38.9,69.4,63.9,3.06,68.9,2.8,55.6,66.7,1.25,0.3,1134.0,5.42,0.81,76.5,36.2,2833.0,2.8,0.7,1.38,3
LOUD,15,LAT,16,0.438,0.96,1780,-65,1900-01-01 11:23:00,13.3,13.7,5.9,7.2,62.5,56.3,56.3,2.06,38.9,3.7,50.0,50.0,0.69,0.0,220.0,3.94,0.75,46.9,32.5,2466.0,3.4,1.3,1.51,3
LUA Gaming,15,ES,16,0.438,0.89,1791,-66,1900-01-01 07:57:00,13.6,15.3,5.6,6.6,50.0,43.8,50.0,1.75,42.2,3.3,56.3,62.5,0.63,0.3,-556.0,3.5,0.44,45.8,31.9,2529.0,3.3,1.26,1.26,3
Luminosity Gaming,15,NA,11,0.636,1.19,1804,88,1900-01-01 12:18:00,13.6,11.5,7.9,5.3,36.4,72.7,81.8,2.64,52.0,4.0,45.5,72.7,1.18,0.5,788.0,4.91,1.0,75.0,31.9,2600.0,3.5,1.15,1.29,2
Lundqvist Lightside,15,EUW,17,0.294,0.61,1731,-225,1900-01-01 07:28:00,13.8,22.6,4.8,7.9,29.4,41.2,41.2,1.76,37.9,3.3,25.0,35.3,0.75,0.1,-1150.0,3.44,0.35,34.6,30.2,2385.0,2.7,0.97,1.08,3
LYON,15,NA,9,0.444,1.11,1799,-23,1900-01-01 09:05:00,11.7,10.6,6.1,6.3,66.7,44.4,33.3,2.67,55.7,2.2,66.7,44.4,0.78,-0.3,-54.0,3.44,0.44,38.9,34.1,2356.0,3.3,1.19,1.59,2
